household_ID,Consumption
ID1406,170.04
ID1407,166.96
ID1408,122.28
ID1409,40.72
ID1410,190.72
ID1411,95.68
ID1412,88.72
ID1413,72.56
ID1414,NA
ID1415,225.88
ID1416,56.84
ID1417,154.56
ID1418,63.76
ID1419,45.88
ID1420,199.96
ID1421,89.48
ID1422,83.6
ID1423,137.56
ID1424,112
ID1425,116.12
ID1426,109.76
ID1427,66.16
ID1428,18.64
ID1429,93.28
ID1430,73.64
ID1431,22.16
ID1432,31.92
ID1433,101.88
ID1434,58.72
ID1435,88.92
ID1436,96.72
ID1437,96.28
ID1438,NA
ID1439,31.4
ID1440,53.84
ID1441,48.64
ID1442,43.24
ID1443,219.96
ID1444,NA
ID1445,171.12
ID1446,9.24
ID1447,85.12
ID1448,24.2
ID1449,116.88
ID1450,65.64
ID1451,54.08
ID1452,117.16
ID1453,36.4
ID1454,151.16
ID1455,184.12
ID1456,87.72
ID1457,88.72
ID1458,355.08
ID1459,84.08
ID1460,NA
ID1461,253.52
ID1462,122.96
ID1463,18.04
ID1464,56.28
ID1465,114.68
ID1466,178.36
ID1467,12.28
ID1468,72.88
ID1469,84.44
ID1470,127.4
ID1471,82.48
ID1472,191.72
ID1473,73.44
ID1474,81.96
ID1475,95.56
ID1476,49.56
ID1477,92.6
ID1478,458.88
ID1479,90.04
ID1480,140.8
ID1481,201.52
ID1482,51.36
ID1483,81.44
ID1484,NA
ID1485,63.44
ID1486,65
ID1487,34.88
ID1488,145.84
ID1489,89.96
ID1490,124.92
ID1491,186.72
ID1492,107.92
ID1493,97.44
ID1494,72.84
ID1495,19.2
ID1496,290.4
ID1497,125.32
ID1498,84.64
ID1499,178.92
ID1500,81.4
ID1501,12.48
ID1502,34.52
ID1503,46.64
ID1504,73.48
ID1505,NA
ID1506,45.24
ID1507,160.04
ID1508,76.4
ID1509,29.8
ID1510,NA
ID1511,49.52
ID1512,203.32
ID1513,20.24
ID1514,85.64
ID1515,25.68
ID1516,80.24
ID1517,66.4
ID1518,125.84
ID1519,77.8
ID1520,160.92
ID1521,NA
ID1522,25.64
ID1523,85.96
ID1524,93.08
ID1525,172.08
ID1526,65.24
ID1527,74.08
ID1528,59.36
ID1529,73.04
ID1530,61.24
ID1531,82.44
ID1532,76.8
ID1533,84.64
ID1534,23.16
ID1535,166.92
ID1536,103.68
ID1537,49.28
ID1538,118.96
ID1539,48.24
ID1540,75.64
ID1541,231.6
ID1542,61
ID1543,85.32
ID1544,63.84
ID1545,133.76
ID1546,124.64
ID1547,70.52
ID1548,20
ID1549,39.28
ID1550,99.36
ID1551,132.04
ID1552,75.64
ID1553,96.2
ID1554,44.48
ID1555,105.12
ID1556,125.68
ID1557,65.08
ID1558,83.24
ID1559,175
ID1560,27.52
ID1561,13.72
ID1562,155.12
ID1563,64.68
ID1564,164.12
ID1565,254.2
ID1566,4.52
ID1567,132.96
ID1568,29.32
ID1569,61.68
ID1570,137.68
ID1571,79.04
ID1572,NA
ID1573,166.52
