household_ID,SumOfAppliances
ID0957,198.3
ID0958,227.5
ID0959,218.75
ID0960,0.66
ID0961,218.58
ID0962,187.83
ID0963,157.0
ID0964,177.25
ID0965,185.05
ID0966,203.25
ID0967,22.17
ID0968,173.12
ID0969,199.0
ID0970,2.25
ID0971,190.0
ID0972,248.9
ID0973,65.73
ID0974,164.5
ID0975,181.5
ID0976,285.55
ID0977,203.0
ID0978,120.45
ID0979,263.56
ID0980,212.25
ID0981,195.0
ID0982,221.0
ID0983,260.795
ID0984,196.25
ID0985,178.5
ID0986,280.16
ID0987,231.25
ID0988,191.5
ID0989,27.0
ID0990,213.31
ID0991,22.0
ID0993,195.11
ID0994,176.65
ID0995,1.5
ID0996,214.62
ID0997,173.5
ID0998,196.75
ID0999,154.25
ID1000,172.3
ID1001,172.81
ID1002,182.25
ID1003,211.5
ID1004,193.5
ID1005,185.75
ID1006,189.62
ID1007,172.25
ID1008,179.16
ID1009,210.75
ID1010,59.25
ID1011,18.5
ID1012,25.5
ID1013,228.0
ID1014,4.63
ID1015,24.1
ID1016,130.26
ID1017,246.75
ID1018,20.25
ID1019,199.0
ID1020,205.0
ID1021,176.25
ID1022,25.14
ID1023,224.58
ID1024,164.83
ID1025,306.36
ID1026,191.25
ID1027,209.75
ID1028,245.185
ID1030,309.0
ID1031,172.49
ID1032,170.83
ID1033,183.25
ID1034,265.99
ID1035,20.0
ID1036,211.867
ID1037,173.5
ID1038,267.75
ID1039,184.0
ID1040,103.83
ID1041,56.0
ID1042,242.12
ID1043,214.5
ID1044,288.47
ID1046,11.0
ID1047,202.0
ID1048,212.25
ID1049,215.55
ID1050,206.025
ID1051,209.65
ID1052,225.33
ID1053,176.2
ID1054,294.99
ID1055,201.0
ID1056,28.0
ID1057,229.0
ID1058,179.41
ID1059,120.33
ID1060,28.0
ID1061,175.75
ID1062,219.3
ID1063,50.0
ID1064,5.0
ID1065,240.45
ID1066,174.5
ID1067,206.89
ID1068,182.9
ID1069,213.63
ID1070,51.5
ID1071,155.25
ID1072,160.0
ID1073,186.0
ID1074,183.0
ID1075,245.0
ID1076,175.6
ID1077,222.55
ID1078,3.0
ID1079,245.0
ID1080,180.41
ID1081,342.81
ID1082,18.07
ID1083,193.16
ID1084,168.0
ID1085,186.6
ID1086,172.74
ID1087,170.5
ID1088,255.0
ID1089,173.0
ID1090,47.0
ID1091,348.0
ID1092,213.42
ID1093,110.33
ID1094,606.91
ID1095,205.0
ID1096,78.3
ID1097,196.25
ID1098,30.75
ID1099,0.5
ID1100,251.0
ID1101,243.15
ID1102,275.97
ID1103,207.62
ID1104,188.31
ID1105,200.0
ID1106,204.0
ID1107,27.6
ID1108,84.0
ID1109,0.25
ID1110,259.27
ID1111,195.35
ID1112,237.43
ID1113,29.5
ID1114,235.5
ID1115,238.5
ID1116,37.5
ID1117,216.25
ID1118,149.0
ID1119,169.75
ID1120,24.5
ID1121,43.0
ID1122,198.0
ID1123,174.25
ID1124,245.91
ID1125,300.5
ID1126,194.0
ID1127,210.0
ID1128,297.1
ID1130,157.17
ID1131,177.0
ID1132,564.593
ID1133,189.83
ID1134,211.4
ID1135,175.58
ID1136,183.5
ID1137,12.0
ID1138,141.33
ID1139,217.83
ID1140,202.75
ID1141,107.66
ID1142,216.46
ID1143,201.0
ID1144,177.0
ID1145,177.66
ID1146,222.35
ID1147,171.325
ID1148,179.7
ID1149,173.0
ID1150,179.2
ID1151,269.2
ID1152,183.0
ID1153,168.8
ID1154,14.83
ID1155,0.5
ID1156,430.7
ID1157,176.14
ID1158,84.0
ID1159,241.0
ID1160,230.0
ID1161,251.75
ID1162,205.0
ID1163,198.5
ID1164,225.25
ID1165,568.73
ID1166,176.25
ID1167,67.0
ID1168,199.0
ID1169,107.69
ID1170,21.0
ID1171,197.75
ID1172,14.0
ID1173,183.5
ID1174,192.5
ID1175,381.65
ID1176,374.5
ID1177,172.058
ID1178,192.0
ID1179,1.16
ID1180,153.38
ID1181,1.8
ID1182,181.5
ID1183,240.5
ID1184,200.71
ID1185,170.92
ID1186,33.06
ID1187,244.483
ID1188,169.27
ID1189,186.99
ID1190,213.0
ID1191,216.23
ID1192,215.017
ID1193,199.75
ID1194,218.0
ID1195,168.0
ID1196,199.25
ID1197,224.85
ID1198,23.5
ID1199,234.7
ID1200,207.83
ID1201,194.5
ID1202,197.0
ID1203,311.25
ID1204,199.3
ID1205,0.25
ID1206,97.25
ID1207,211.25
ID1208,7.0
ID1209,1.0
