household_ID,NoOfHoursStay
ID0925,573.0
ID0926,10.0
ID0927,486.0
ID0928,838.0
ID0929,300.0
ID0930,698.0
ID0931,626.0
ID0932,191.0
ID0933,291.0
ID0934,251.0
ID0935,900.0
ID0936,553.0
ID0937,668.0
ID0938,366.0
ID0939,1616.0
ID0940,427.0
ID0941,372.0
ID0942,435.0
ID0943,668.0
ID0944,287.0
ID0945,276.0
ID0946,704.0
ID0947,158.0
ID0948,490.0
ID0949,588.0
ID0950,392.0
ID0951,612.0
ID0952,609.75
ID0953,699.0
ID0954,873.0
ID0955,850.0
ID0956,492.0
ID0957,528.0
ID0958,540.0
ID0959,792.0
ID0960,280.0
ID0961,382.0
ID0962,402.0
ID0963,572.0
ID0964,582.0
ID0965,802.0
ID0966,672.0
ID0967,670.0
ID0968,342.0
ID0969,492.0
ID0970,63.0
ID0971,425.0
ID0972,360.0
ID0973,546.0
ID0974,252.0
ID0975,336.0
ID0976,544.0
ID0977,301.0
ID0978,780.0
ID0979,496.3
ID0980,1106.0
ID0981,524.0
ID0982,420.0
ID0983,308.0
ID0984,514.0
ID0985,573.0
ID0986,908.0
ID0987,548.0
ID0988,756.0
ID0989,438.0
ID0990,336.0
ID0991,602.0
ID0992,184.0
ID0993,336.0
ID0994,263.0
ID0995,510.0
ID0996,752.0
ID0997,248.0
ID0998,462.0
ID0999,266.0
ID1000,628.0
ID1001,336.0
ID1002,384.0
ID1003,980.0
ID1004,828.0
ID1005,593.0
ID1006,404.0
ID1007,327.0
ID1008,557.0
ID1009,454.0
ID1010,600.0
ID1011,936.0
ID1012,1176.0
ID1013,852.0
ID1014,414.0
ID1015,335.3
ID1016,595.0
ID1017,1135.0
ID1018,702.0
ID1019,290.0
ID1020,336.0
ID1021,494.0
ID1022,252.0
ID1023,500.0
ID1024,1135.0
ID1025,877.0
ID1026,336.0
ID1027,420.0
ID1028,351.0
ID1029,293.0
ID1030,561.0
ID1031,346.75
ID1032,672.0
ID1033,142.0
ID1034,649.0
ID1035,466.0
ID1036,371.5
ID1037,544.0
ID1038,547.0
ID1039,520.0
ID1040,322.0
ID1041,420.0
ID1042,820.0
ID1043,434.0
ID1044,587.0
ID1045,168.0
ID1046,1050.0
ID1047,572.0
ID1048,336.0
ID1049,336.0
ID1050,547.0
ID1051,840.0
ID1052,746.0
ID1053,92.0
ID1054,552.0
ID1055,672.0
ID1056,630.0
ID1057,336.0
ID1058,600.0
ID1059,756.0
ID1060,594.0
ID1061,168.0
ID1062,308.0
ID1063,782.0
ID1064,1062.0
ID1065,685.5
ID1066,227.0
ID1067,312.0
ID1068,336.0
ID1069,336.0
ID1070,1438.0
ID1071,804.0
ID1072,342.0
ID1073,336.0
ID1074,768.0
ID1075,528.0
ID1076,568.0
ID1077,522.0
ID1078,98.0
ID1079,1014.0
ID1080,176.0
ID1081,538.0
ID1082,266.0
ID1083,445.0
ID1084,196.0
ID1085,336.0
ID1086,497.0
ID1087,356.0
ID1088,575.0
ID1089,664.0
ID1090,358.0
ID1091,756.0
ID1092,392.0
ID1093,276.0
ID1094,160.0
ID1095,336.0
ID1096,608.0
ID1097,144.0
ID1098,584.0
ID1099,704.0
ID1100,996.0
ID1101,621.0
ID1102,924.0
ID1103,316.0
ID1104,160.0
ID1105,418.0
ID1106,420.0
ID1107,1080.0
ID1108,818.0
ID1109,600.0
ID1110,611.0
ID1111,410.0
ID1112,320.0
ID1113,318.0
ID1114,336.0
ID1115,918.0
ID1116,708.0
ID1117,336.0
ID1118,296.0
ID1119,168.0
ID1120,168.0
ID1121,792.0
ID1122,441.0
ID1123,330.0
ID1124,724.0
ID1125,300.0
ID1126,510.0
ID1127,434.0
ID1128,288.0
ID1129,410.0
ID1130,184.0
ID1131,785.0
ID1132,336.0
ID1133,336.0
ID1134,180.0
ID1135,589.0
ID1136,680.5
ID1137,590.0
ID1138,714.5
ID1139,591.0
ID1140,489.0
ID1141,702.25
ID1142,943.0
ID1143,560.0
ID1144,504.0
ID1145,408.0
ID1146,945.5
ID1147,402.0
ID1148,556.0
ID1149,140.0
ID1150,672.0
ID1151,698.0
ID1152,242.0
ID1153,415.0
ID1154,168.0
ID1155,776.0
ID1156,605.0
ID1157,154.0
ID1158,285.0
ID1159,508.0
ID1160,1002.0
ID1161,228.0
ID1162,868.0
ID1163,672.0
ID1164,967.0
ID1165,954.0
ID1166,523.0
ID1167,756.0
ID1168,168.0
ID1169,604.0
ID1170,70.0
ID1171,761.75
ID1172,296.0
ID1173,168.0
ID1174,113.0
ID1175,550.0
ID1176,1018.0
ID1177,455.0
ID1178,72.0
ID1179,624.0
ID1180,402.0
ID1181,316.0
ID1182,259.0
ID1183,675.0
ID1184,440.0
ID1185,98.0
ID1186,740.0
ID1187,413.0
ID1188,336.0
ID1189,722.0
ID1190,264.0
ID1191,602.0
ID1192,420.5
ID1193,456.0
ID1194,960.0
ID1195,584.0
ID1196,686.0
ID1197,557.0
ID1198,660.0
ID1199,699.5
ID1200,335.0
ID1201,420.0
ID1202,800.0
ID1203,480.0
ID1204,504.0
ID1205,168.0
ID1206,504.0
ID1207,720.0
ID1208,168.0
ID1209,300.0
ID1210,568.0
ID1211,464.0
ID1212,670.0
ID1213,396.0
ID1214,28.0
ID1215,552.0
ID1216,483.0
ID1217,268.0
ID1218,168.0
ID1219,308.0
ID1220,294.0
ID1221,721.0
